"cellType","Comparison","psi","OddsRatio","pvalue","pvalBH","SymbolsIn","Bonf_sig"
"Ctx.etv1_ts88","Cortex_down","psi<0.05",4.64586773268445,1.00050543988367e-14,3.50176903959283e-13,"PLD4;NCKAP1L;FERMT3;AIF1;ARHGDIB;C1QA;C1QB;C1QC;CHRM1;CRMP1;CSF1R;CTSC;CTSS;CYBA;DRP2;FCER1G;FOLR2;PTPN6;IRF8;ID3;ITGB2;L1CAM;LAPTM5;LY86;LYL1;PTGS1;RASSF3;RLBP1;RPE65;TBXAS1;TYROBP;SLC30A3;DCLK3;DPYSL4;TRIM46;UNC93B1;TRIM54;SLCO1C1;KCNV1;RASL11B;TNFAIP8L2;RUSC1;P2RY13;TBC1D30",TRUE
"Ctx.etv1_ts88","dACC_down","psi<0.05",4.56321907013396,8.52485952996601e-13,2.9837008354881e-11,"PLD4;FERMT3;AIF1;ARHGDIB;C1QA;C1QB;C1QC;CHRM1;CRMP1;CTSC;CTSS;CYBA;DRP2;FCER1G;FOLR2;GDA;PTPN6;IRF8;ID3;ITGB2;L1CAM;LAPTM5;LY86;LYL1;PTGS1;RASSF3;RLBP1;TYROBP;DPYSL4;TRIM46;NGEF;SLCO1C1;KCNV1;RASL11B;TNFAIP8L2;P2RY13;TBC1D30;SPATA2L",TRUE
"Ctx.etv1_ts88","Cortex_down","psi<0.01",8.12350964826212,2.32951866316581e-12,8.15331532108035e-11,"FERMT3;C1QA;C1QB;C1QC;CHRM1;CSF1R;CYBA;FCER1G;FOLR2;PTPN6;ITGB2;LAPTM5;LYL1;PTGS1;TYROBP;SLC30A3;UNC93B1;TRIM54;SLCO1C1;KCNV1;TNFAIP8L2;P2RY13",TRUE
"Ctx.etv1_ts88","Cortex_either","psi<0.05",3.58363095238095,9.6959982632659e-12,3.39359939214306e-10,"PLD4;NCKAP1L;FERMT3;AIF1;ARHGDIB;C1QA;C1QB;C1QC;CHRM1;CRMP1;CSF1R;CTSC;CTSS;CYBA;DRP2;FCER1G;FOLR2;PTPN6;IRF8;ID3;ITGB2;L1CAM;LAPTM5;LY86;LYL1;PLCD4;PTGS1;RASSF3;RLBP1;RPE65;TBXAS1;TYROBP;SLC30A3;DCLK3;DPYSL4;TRIM46;UNC93B1;TRIM54;SLCO1C1;KCNV1;RASL11B;TNFAIP8L2;RUSC1;P2RY13;ATG7;TBC1D30",TRUE
"Ctx.etv1_ts88","Cortex_either","psi<0.01",6.39067720090294,7.24401264110005e-11,2.53540442438502e-09,"FERMT3;C1QA;C1QB;C1QC;CHRM1;CSF1R;CYBA;FCER1G;FOLR2;PTPN6;ITGB2;LAPTM5;LYL1;PTGS1;TYROBP;SLC30A3;UNC93B1;TRIM54;SLCO1C1;KCNV1;TNFAIP8L2;P2RY13;ATG7",TRUE
"Ctx.etv1_ts88","dACC_down","psi<0.01",7.36669950738916,7.28426875093311e-10,2.54949406282659e-08,"FERMT3;C1QA;C1QB;C1QC;CHRM1;CYBA;FCER1G;FOLR2;PTPN6;ITGB2;LAPTM5;LYL1;PTGS1;TYROBP;SLCO1C1;KCNV1;TNFAIP8L2;P2RY13",TRUE
"Ctx.etv1_ts88","dACC_either","psi<0.05",3.2472073279714,1.49947845678123e-09,5.24817459873429e-08,"PLD4;FERMT3;AIF1;ARHGDIB;C1QA;C1QB;C1QC;CHRM1;CRMP1;CTSC;CTSS;CYBA;DRP2;FCER1G;FOLR2;GDA;PTPN6;IRF8;ID3;ITGB2;L1CAM;LAPTM5;LY86;LYL1;PDGFRB;PTGS1;RASSF3;RLBP1;TYROBP;DPYSL4;TRIM46;NGEF;SLCO1C1;KCNV1;RASL11B;TNFAIP8L2;P2RY13;ATG7;CLEC16A;TBC1D30;SPATA2L",TRUE
"Ctx.etv1_ts88","Cortex_down","psi<0.001",11.4917907012429,7.5847524873807e-09,2.65466337058324e-07,"FERMT3;C1QA;C1QB;C1QC;CHRM1;CSF1R;PTPN6;LYL1;TYROBP;SLC30A3;TRIM54;P2RY13",TRUE
"Ctx.etv1_ts88","Cortex_either","psi<0.001",9.59584750313227,1.61587752609434e-08,5.65557134133019e-07,"FERMT3;C1QA;C1QB;C1QC;CHRM1;CSF1R;PTPN6;LYL1;TYROBP;SLC30A3;TRIM54;P2RY13;ATG7",TRUE
"Ctx.etv1_ts88","dACC_either","psi<0.01",5.23519677996422,4.73149612896292e-08,1.65602364513702e-06,"FERMT3;C1QA;C1QB;C1QC;CHRM1;CYBA;FCER1G;FOLR2;PTPN6;ITGB2;LAPTM5;LYL1;PTGS1;TYROBP;SLCO1C1;KCNV1;TNFAIP8L2;P2RY13;ATG7",TRUE
