"cellType","Comparison","psi","OddsRatio","pvalue","pvalBH","SymbolsIn","Bonf_sig"
"Ctx.etv1_ts88","Cortex_either","psi<0.05",2.32248648648649,0.00647019172078832,0.0541446521012512,"CRHBP;CTSC;EMX1;GRIN1;L1CAM;ARHGEF1;SLC16A2;SSTR3;MPPED1;KCNQ5;BAHD1;IRS2;SLITRK3;ADHFE1",FALSE
"Ctx.pnoc","BLA_either","psi<0.05",8.59121621621622,0.00649785655344878,0.227424979370707,"CRYBB3;IGF1;NXPH2",FALSE
"BS.chat","dlPFC_up","psi<0.01",8.57817772778403,0.00655692805473538,0.229492481915738,"ITGA3;SLC29A4;SLC35F2",FALSE
"Cb.cnp","dlPFC_down","psi<0.01",8.91843971631206,0.00684522281645711,0.239582798575999,"APOD;CSF1;PRRG1",FALSE
"Cb.cnp","dlPFC_down","psi<0.05",6.2390256280132,0.00695390744792656,0.121693380338715,"APOD;CSF1;FAM178B;PRRG1",FALSE
"BS.chat","dlPFC_up","psi<0.05",5.7359781121751,0.00718482894164074,0.251469012957426,"ITGA3;SLC29A4;HSPB6;SLC35F2",FALSE
"Ctx.pdgfrajd340","Cortex_up","psi<0.05",0,0.00728082974194968,0.0509658081936477,"",FALSE
"Cpu.D1","Cortex_either","psi<0.05",2.2469995419148,0.00773495030017874,0.0541446521012512,"PWWP2B;ELK1;GABRD;ITPR1;MYT1L;PDE1B;HDAC4;TEF;MPPED1;KCNQ5;CDC42EP3;RASD2;MED13L;HRH3",FALSE
"Ctx.cort","Amygdala_down","psi<1e-04",178.430555555556,0.00774529705366898,0.271085396878414,"CRHBP",FALSE
"Cb.septin4","Amygdala_either","psi<1e-04",16.5297157622739,0.00775248053867013,0.205712937187733,"HSD11B1;RDH5",FALSE
"Cpu.D1","Cortex_either","psi<0.01",3.19533071095571,0.00871645092751024,0.305075782462858,"PWWP2B;ELK1;ITPR1;PDE1B;TEF;RASD2;HRH3",FALSE
"Ctx","MeA_down","psi<0.01",15.3641826923077,0.00897780195376476,0.314223068381767,"ARC;NPAS4",FALSE
"Ctx.cort","Cortex_down","psi<1e-04",142.677777777778,0.00959745389306401,0.33591088625724,"CRHBP",FALSE
"Cpu.D2","Cortex_either","psi<0.05",2.27390908573704,0.00985140766180715,0.057466544693875,"PWWP2B;CDK5R1;GABRD;ITPR1;MYT1L;PDE1B;HDAC4;TEF;NRGN;RUFY2;RASD2;MED13L;HRH3",FALSE
"Cpu.D1","MeA_either","psi<0.01",4.06638736706413,0.00993901195009351,0.347865418253273,"KLF5;EGR2;LMO2;SLC30A10;RFX7",FALSE
"Ctx","dACC_up","psi<0.05",3.97352663094863,0.0109063933197238,0.128919033966423,"EMX1;MPPED1;KCNQ5;LMTK2;NRGN",FALSE
"Cpu.D2","dACC_up","psi<0.05",2.813486207288,0.0110502029114076,0.128919033966423,"PWWP2B;HIVEP2;ITPR1;MYT1L;HDAC4;TEF;NRGN;RASD2",FALSE
"Ctx","MeA_down","psi<0.05",4.85445468509985,0.0116586054186799,0.102012797413449,"ARC;EGR2;HS3ST2;NPAS4",FALSE
"Ctx.cort","Amygdala_either","psi<1e-04",115.621621621622,0.0117550249821562,0.205712937187733,"CRHBP",FALSE
"BS.chat","dlPFC_either","psi<1e-04",13.1512345679012,0.0118164740020511,0.413576590071789,"SLC29A4;SLC35F2",FALSE
"Cb.grp","Amygdala_up","psi<0.05",13.5743315508021,0.0125642984440653,0.439750445542286,"HSD11B1;RDH5",FALSE
"Cb.Lypd6","Amygdala_either","psi<0.05",6.6646801051709,0.0127600328527799,0.245572936991613,"GRIA4;HSD11B1;SLC6A1",FALSE
"Cb.grp","Amygdala_either","psi<0.05",6.42502113271344,0.0140327392566636,0.245572936991613,"TIMP4;HSD11B1;RDH5",FALSE
"Cb.Aldh1L1","MeA_either","psi<0.05",2.36509958314034,0.0147313912158972,0.149814710160007,"PLEKHG2;HES1;LXN;NBL1;PHKA1;DPY19L3;BOK;PPP1R3C;PTGR1;SLC25A18",FALSE
"Cb.septin4","Amygdala_up","psi<0.01",12.257253384913,0.0151840068753027,0.276427338014584,"HSD11B1;RDH5",FALSE
"BS.chat","dlPFC_up","psi<0.001",11.4471326164875,0.0152419706237267,0.533468971830435,"SLC29A4;SLC35F2",FALSE
"Cb.Aldh1L1","BLA_either","psi<0.001",11.3969669937556,0.0153433495984852,0.537017235946983,"TIMP4;RDH5",FALSE
"Cb.Aldh1L1","Amygdala_up","psi<0.01",11.9981060606061,0.0157958478865476,0.276427338014584,"HSD11B1;RDH5",FALSE
"Epi.Chat","Cortex_up","psi<0.05",2.41509433962264,0.0169409797012297,0.0988223815905064,"DPP6;SLC17A6;FZD1;ITGA3;PAFAH1B3;ROR2;NRGN;AVPI1;CHST1",FALSE
"Ctx","MeA_either","psi<0.05",3.52453970563546,0.0171216811611437,0.149814710160007,"ARC;EGR2;HS3ST2;NPAS4;LMTK2",FALSE
"Cb.septin4","Amygdala_either","psi<0.01",5.79831932773109,0.0182733815609452,0.337795234133538,"TIMP4;HSD11B1;RDH5",FALSE
"Ctx.glt25d2","dACC_up","psi<0.05",3.03664752042715,0.0183139865135941,0.160247381993948,"EMX1;MPPED1;SLC6A17;PARM1;SLC6A7;NCEH1",FALSE
"BS.chat","dlPFC_either","psi<0.01",5.65681176645372,0.0188995530443302,0.661484356551558,"ITGA3;SLC29A4;SLC35F2",FALSE
"Ctx.cort","Amygdala_down","psi<0.001",59.4490740740741,0.019255356290197,0.673937470156897,"CRHBP",FALSE
"Cb.Aldh1L1","Amygdala_either","psi<0.01",5.67509349289454,0.0193025848076307,0.337795234133538,"TIMP4;HSD11B1;RDH5",FALSE
"Cpu.D2","dACC_either","psi<0.05",2.32944502617801,0.0209857716275557,0.314581681196392,"PWWP2B;HIVEP2;ITPR1;MYT1L;HDAC4;TEF;NRGN;RUFY2;RASD2",FALSE
"Epi","dACC_either","psi<1e-04",9.63712121212121,0.0216764105456657,0.7586743690983,"SLC17A6;CAPSL",FALSE
"Cb.Aldh1L1","Amygdala_up","psi<1e-04",48.6363636363636,0.0229866060364786,0.402265605638375,"HSD11B1",FALSE
"Ctx.etv1_ts88","Amygdala_down","psi<0.01",9.14768235716852,0.0235313617275092,0.82359766046282,"CRHBP;RGS5",FALSE
"Ctx.cort","Cortex_down","psi<0.001",47.537037037037,0.0238266964215532,0.833934374754363,"CRHBP",FALSE
"Ctx.etv1_ts88","Cortex_up","psi<0.05",2.13911586666877,0.0238649274366059,0.108710907811293,"CTSC;EMX1;GRIN1;L1CAM;SLC16A2;SSTR3;MPPED1;KCNQ5;BAHD1;IRS2;SLITRK3",FALSE
"Ctx.pdgfrajd340","dACC_either","psi<0.05",0,0.0243530362939612,0.314581681196392,"",FALSE
"Ctx","MeA_either","psi<0.01",8.90699300699301,0.0244681884501492,0.42819329787761,"ARC;NPAS4",FALSE
"Ctx.glt25d2","Cortex_up","psi<0.05",2.38429118773946,0.0248482074997241,0.108710907811293,"EMX1;GABRD;SLC16A2;MPPED1;SLC6A17;PARM1;NCEH1;SLITRK3",FALSE
"Ctx.Ntsr","Cortex_either","psi<0.05",2.38246192832724,0.0248513779328424,0.124256889664212,"GRM5;EMX1;GRIN1;SLC16A2;NCEH1;NRGN;CAPSL;TMEM132A",FALSE
"Ctx.Aldh1L1","MeA_down","psi<1e-04",8.67051630434783,0.0250913625893137,0.878197690625981,"LMCD1;SLC25A18",FALSE
"Ctx.etv1_ts88","MeA_down","psi<0.01",5.03531746031746,0.0251744729915319,0.364329196470608,"NPAS4;LMCD1;SLC25A18",FALSE
"Cpu","dACC_up","psi<0.05",3.16444220599345,0.0255573247280425,0.178901273096297,"DCC;MYT1L;KCNQ5;NRGN;RASD2",FALSE
"BS.chat","dlPFC_either","psi<0.05",3.74508050089445,0.0269486011699002,0.8008175078164,"ITGA3;SLC29A4;HSPB6;SLC35F2",FALSE
"Cb.septin4","Amygdala_either","psi<0.001",8.33464052287582,0.0271109070133713,0.339916302766392,"HSD11B1;RDH5",FALSE
"Cpu.D2","dlPFC_up","psi<0.05",3.78476972184222,0.0274163688994629,0.422615916542383,"HDAC4;TEF;MAPKBP1;RASD2",FALSE
"BS","dlPFC_down","psi<0.05",8.37830687830688,0.0286604013665257,0.334371349276134,"APOD;PRRG1",FALSE
"Cpu","Cortex_up","psi<0.01",4.79507575757576,0.0287802686686584,0.503654701701521,"GRM5;PDE1B;RASD2",FALSE
"Ctx.cort","Amygdala_either","psi<0.001",38.5225225225225,0.0291356830942621,0.339916302766392,"CRHBP",FALSE
"Cpu.D1","dACC_up","psi<0.01",3.60416666666667,0.0293547087699405,1,"PWWP2B;ITPR1;TEF;RASD2",FALSE
"Ctx.Ntsr","Cortex_up","psi<0.05",2.46778656126482,0.0293859426451024,0.114278665842065,"GRM5;EMX1;GRIN1;SLC16A2;NCEH1;NRGN;TMEM132A",FALSE
"Cb","dlPFC_up","psi<0.01",7.78144078144078,0.0306627982910026,0.536598970092545,"EXPH5;RGS8",FALSE
"Cb.septin4","BLA_up","psi<1e-04",36.4261363636364,0.0310296079693031,1,"RDH5",FALSE
"BS.chat","dlPFC_either","psi<0.001",7.62066905615293,0.0315399374533793,1,"SLC29A4;SLC35F2",FALSE
"Ctx.glt25d2","MeA_up","psi<0.001",35.6138888888889,0.0317093221959809,1,"QRFPR",FALSE
"Ctx.Ntsr","MeA_down","psi<0.01",7.52122641509434,0.0322872027735808,0.364329196470608,"EGR2;HS3ST2",FALSE
"Ctx.pnoc","BLA_down","psi<1e-04",32.9,0.0332027315823119,1,"IGF1",FALSE
"Ctx","dACC_either","psi<0.05",2.918349347816,0.0338261990498539,0.314581681196392,"EMX1;MPPED1;KCNQ5;LMTK2;NRGN",FALSE
"Ctx.pnoc","BLA_down","psi<0.05",7.25163864348817,0.0351488213895265,0.94854952327933,"IGF1;NXPH2",FALSE
"Hyp","MeA_up","psi<0.05",4.40546511627907,0.0357083683856282,0.921171059087909,"OPRL1;DISP2;JMY",FALSE
"Cpu.D1","dlPFC_up","psi<0.05",3.45264914476429,0.0362242214179185,0.422615916542383,"HDAC4;TEF;CAMSAP1;RASD2",FALSE
"Ctx.cnp","Cortex_either","psi<0.01",0,0.0363519176004267,0.514208410921147,"",FALSE
"Ctx.cort","Amygdala_down","psi<0.05",7.12201963534362,0.0369011030510833,0.714592011411668,"CRHBP;GPD1L",FALSE
"Ctx.glt25d2","Cortex_either","psi<0.05",2.26202429149798,0.0385354020195144,0.168592383835375,"CRHBP;EMX1;GABRD;SLC16A2;MPPED1;SLC6A17;PARM1;NCEH1;SLITRK3",FALSE
"Ctx.pnoc","dlPFC_up","psi<1e-04",26.6611226611227,0.0405570500903298,0.709748376580772,"PTHLH",FALSE
"Cb.Lypd6","Amygdala_down","psi<0.05",6.72640509013786,0.0408338292235239,0.714592011411668,"GRIA4;SLC6A1",FALSE
"Ctx.etv1_ts88","dACC_either","psi<0.05",2.19306666666667,0.0411999434171299,0.314581681196392,"EMX1;GRIN1;L1CAM;ARHGEF1;MPPED1;KCNQ5;BAHD1;IRS2;ADHFE1",FALSE
"Cpu.D1","MeA_down","psi<0.01",4.10171687722708,0.0416376224537838,0.364329196470608,"KLF5;EGR2;LMO2",FALSE
"Cb.Aldh1L1","BLA_up","psi<0.001",26.6791666666667,0.0418543015937784,1,"RDH5",FALSE
"Ctx.etv1_ts88","dACC_up","psi<0.05",2.28728435180048,0.042132593601404,0.245773462674856,"EMX1;GRIN1;L1CAM;MPPED1;KCNQ5;BAHD1;IRS2",FALSE
"Ctx.pnoc","BLA_either","psi<1e-04",25.2899408284024,0.0426487225043492,1,"IGF1",FALSE
"Cpu","Cortex_either","psi<0.01",4.02678571428571,0.044075006650384,0.514208410921147,"GRM5;PDE1B;RASD2",FALSE
"Epi","Cortex_either","psi<1e-04",6.4243654822335,0.044839454508654,0.909744060563622,"SLC17A6;CAPSL",FALSE
"Cpu.D1","dACC_either","psi<0.05",2.12262200956938,0.0449402401709131,0.314581681196392,"PWWP2B;HIVEP2;ITPR1;MYT1L;HDAC4;TEF;MPPED1;KCNQ5;RASD2",FALSE
"Spc","dlPFC_either","psi<0.05",2.67627580833658,0.0483044657056034,0.8008175078164,"APOD;CSF1;POLR3E;PRRG1;GPSM2",FALSE
"Cpu.D2","Cortex_up","psi<0.001",3.83242424242424,0.0490650688925156,1,"PDE1B;RASD2;HRH3",FALSE
"Ctx.cnp","dlPFC_down","psi<0.01",6.1284046692607,0.0499120825105846,0.87346144393523,"APOD;PRRG1",FALSE
"RetR.Rods","dlPFC_either","psi<0.01",3.80299076676034,0.0502444238816185,0.692405679648569,"RCVRN;KLHL36;GPSM2",FALSE
"Ctx.etv1_ts88","Amygdala_either","psi<0.01",5.83838383838384,0.0509052115658342,0.593894134934732,"CRHBP;RGS5",FALSE
"Epi","Cortex_down","psi<1e-04",20.3539682539683,0.0516940523801402,0.904645916652453,"CAPSL",FALSE
"Epi.Chat","Cortex_either","psi<0.05",2.01600651112317,0.0524401025537225,0.203933732153365,"DPP6;SLC17A6;FZD1;ITGA3;PAFAH1B3;ROR2;NRGN;AVPI1;CHST1",FALSE
"Ctx.cnp","Cortex_up","psi<0.01",0,0.0525321946649591,0.612875604424522,"",FALSE
"Cb.septin4","Amygdala_either","psi<0.05",3.0418410041841,0.0525439750239625,0.613013041946229,"TIMP4;GRIA4;HSD11B1;RDH5",FALSE
"Cb","MeA_up","psi<0.05",3.01369199079123,0.0526383462335948,0.921171059087909,"HPN;KCNC1;RFX7;SASS6",FALSE
"Epi","dACC_either","psi<0.001",5.5004329004329,0.0565142103469946,1,"SLC17A6;CAPSL",FALSE
