"cellType","Comparison","psi","OddsRatio","pvalue","pvalBH","SymbolsIn","Bonf_sig"
"Ctx.etv1_ts88","Amygdala_down","psi<0.01",12.3499025341131,1.81952296437759e-07,6.36833037532155e-06,"FERMT3;CRHBP;PTPN6;IGFBP2;ITGB2;PTGS1;TYROBP;SLCO1C1;P2RY13",TRUE
"Ctx.cort","BLA_down","psi<0.05",10.3557085484796,1.85045692326424e-07,6.47659923142483e-06,"NPY;CORT;CRHBP;DLL3;NXPH2;PTGS1;ST8SIA4;SST;GPD1L;GLT8D2",TRUE
"Ctx.cort","BLA_either","psi<0.05",8.48006360078278,2.97301646452316e-07,1.04055576258311e-05,"NPY;CORT;CRHBP;DLL3;NXPH2;PTGS1;ST8SIA4;SST;GPD1L;ATG7;GLT8D2",TRUE
"Ctx.cort","BLA_down","psi<0.01",23.7558247903075,5.93247892890113e-07,2.0763676251154e-05,"NPY;CORT;CRHBP;DLL3;NXPH2;SST",TRUE
"Ctx.etv1_ts88","Amygdala_either","psi<0.01",8.65953213967209,8.26556774576624e-07,2.89294871101818e-05,"FERMT3;CRHBP;PTPN6;IGFBP2;ITGB2;PTGS1;TYROBP;SLCO1C1;P2RY13;ATG7",TRUE
"Ctx.cort","Amygdala_down","psi<1e-04",440.827586206897,1.31470274126919e-06,4.60145959444215e-05,"CORT;CRHBP;SST",TRUE
"Ctx.cort","BLA_down","psi<1e-04",426.033333333333,1.451938566524e-06,5.08178498283398e-05,"CORT;CRHBP;SST",TRUE
"Ctx.cort","BLA_either","psi<0.01",17.6230076230076,3.0709536246473e-06,0.000107483376862656,"NPY;CORT;CRHBP;DLL3;NXPH2;SST",TRUE
"Ctx.cort","BLA_either","psi<1e-04",318.775,3.38004571489543e-06,0.00011830160002134,"CORT;CRHBP;SST",TRUE
"Ctx.cort","Amygdala_either","psi<1e-04",280.919117647059,4.88741029779349e-06,0.000171059360422772,"CORT;CRHBP;SST",TRUE
"Ctx.cort","dACC_down","psi<1e-04",247.733766233766,7.0527896438935e-06,0.000246847637536272,"CORT;CRHBP;SST",TRUE
"Ctx.cort","Cortex_down","psi<1e-04",195.015384615385,1.41691671451256e-05,0.000495920850079395,"CORT;CRHBP;SST",TRUE
"Ctx.etv1_ts88","dlPFC_down","psi<1e-04",31.7465838509317,1.5963881206741e-05,0.000558735842235936,"C1QB;C1QC;PTPN6;TRIM54",TRUE
"Ctx.etv1_ts88","BLA_either","psi<0.01",7.64431001890359,2.27258418734248e-05,0.000397702232784934,"FERMT3;CRHBP;FOLR2;PTGS1;SLCO1C1;P2RY13;ATG7;GLT8D2",TRUE
"Ctx.pnoc","BLA_down","psi<0.05",8.88753007217321,2.93675344662231e-05,0.000513931853158904,"NPY;CORT;HAPLN1;IGF1;PNOC;NXPH2;SST",TRUE
"Ctx.etv1_ts88","BLA_down","psi<0.01",8.88753007217321,2.93675344662231e-05,0.000513931853158904,"FERMT3;CRHBP;FOLR2;PTGS1;SLCO1C1;P2RY13;GLT8D2",TRUE
"Ctx.etv1_ts88","Amygdala_down","psi<0.05",4.73899732108687,2.95238087956677e-05,0.00103333330784837,"PLD4;FERMT3;CRHBP;FMOD;PTPN6;IGFBP2;ITGB2;PTGS1;TGFBR2;TYROBP;SLCO1C1;P2RY13",TRUE
"Cb.Aldh1L1","dlPFC_down","psi<0.05",4.70291980109652,3.56715093821342e-05,0.0012485028283747,"ALDH1A1;EDNRB;KCNJ16;MICAL1;PHKA1;CYP26B1;ELOVL2;SLC4A4;NKAIN4;MBOAT2;TMEM179B;USP6NL",TRUE
"Cb.Lypd6","Amygdala_up","psi<0.05",11.0459302325581,3.70871695836058e-05,0.0012980509354262,"STARD5;CLEC2L;ZDHHC1;ANTXR2;PRDM8;KCNC4",TRUE
"Ctx.cort","Amygdala_down","psi<0.001",62.9458128078818,3.82577270558659e-05,0.00133902044695531,"CORT;CRHBP;SST",TRUE
"Ctx.cort","BLA_down","psi<0.001",60.8333333333333,4.22068567663469e-05,0.00137507450787976,"CORT;CRHBP;SST",TRUE
"Ctx.pnoc","BLA_down","psi<0.01",14.4681818181818,4.61523692022564e-05,0.000538444307359658,"NPY;CORT;HAPLN1;IGF1;PNOC",TRUE
"Ctx.etv1_ts88","Cortex_down","psi<1e-04",14.9022609514837,5.01292338663456e-05,0.000877261592661048,"C1QA;C1QB;C1QC;PTPN6;TRIM54",TRUE
"Ctx.cort","dACC_either","psi<1e-04",126.140468227425,5.02321092195064e-05,0.00175812382268272,"CORT;CRHBP;SST",TRUE
"Ctx.pnoc","BLA_down","psi<0.001",20.4719101123596,7.8575686164558e-05,0.00137507450787976,"NPY;CORT;IGF1;PNOC",TRUE
"Ctx.cort","Cortex_either","psi<1e-04",106.385269121813,8.21439204573738e-05,0.00287503721600808,"CORT;CRHBP;SST",FALSE
"BF","MeA_down","psi<0.05",6.22200271638474,9.10877107891178e-05,0.00318806987761912,"REM2;FMOD;MGP;OGN;ALDH1A2;TAC1;PROKR2;MYL9",FALSE
"Ctx.cort","BLA_either","psi<0.001",45.5178571428571,9.72269755777045e-05,0.00340294414521966,"CORT;CRHBP;SST",FALSE
"Ctx.etv1_ts88","Cortex_down","psi<0.001",8.97230113636364,0.000110951426122327,0.00388329991428146,"FERMT3;C1QA;C1QB;C1QC;PTPN6;TRIM54",FALSE
"Ctx.cort","Amygdala_down","psi<0.05",7.10401606425703,0.00011227995837784,0.00196489927161219,"CORT;CRHBP;NXPH2;PTGS1;ST8SIA4;SST;GPD1L",FALSE
"Ctx.pnoc","BLA_down","psi<1e-04",38.7,0.00012536958852258,0.00219396779914516,"NPY;IGF1;PNOC",FALSE
"Ctx.cort","Amygdala_either","psi<0.001",40.1123949579832,0.00013979886958841,0.00342468136730613,"CORT;CRHBP;SST",FALSE
"Ctx.pnoc","BLA_either","psi<0.05",6.57342449464923,0.000173901239683698,0.00304327169446472,"NPY;CORT;HAPLN1;IGF1;PNOC;NXPH2;SST",FALSE
"Ctx.pnoc","BLA_either","psi<0.01",10.764406779661,0.000174145191554232,0.00203169390146604,"NPY;CORT;HAPLN1;IGF1;PNOC",FALSE
"Ctx.etv1_ts88","dlPFC_down","psi<0.001",15.8447204968944,0.000189574805730469,0.00663511820056642,"C1QB;C1QC;PTPN6;TRIM54",FALSE
"Ctx.cort","dlPFC_down","psi<1e-04",177.763888888889,0.000194089017994009,0.00339655781489515,"CORT;SST",FALSE
"Ctx.etv1_ts88","Amygdala_either","psi<0.001",10.5232172470978,0.000195696078131779,0.00342468136730613,"FERMT3;PTPN6;TYROBP;P2RY13;ATG7",FALSE
"Ctx.cort","dACC_down","psi<0.001",35.373840445269,0.000200465719449035,0.00701630018071621,"CORT;CRHBP;SST",FALSE
"RetR.Rods","dACC_up","psi<0.05",3.17799241117627,0.00021651517645175,0.00757803117581124,"SMG6;CUX1;NFIC;PKNOX1;KDM4B;UPF1;SON;ZFC3H1;AHDC1;SPEN;STK35;SETD5;KDM5B;BICD2;AKAP12",FALSE
"Ctx.pnoc","Amygdala_down","psi<0.05",7.73382173382173,0.000217638868209027,0.00253912012910531,"CORT;HAPLN1;IGF1;PNOC;NXPH2;SST",FALSE
"Ctx.cort","Amygdala_down","psi<0.01",15.200954084675,0.00022371804435303,0.00391506577617802,"CORT;CRHBP;NXPH2;SST",FALSE
"Ctx.pnoc","BLA_either","psi<0.001",15.2749099639856,0.000231896684600038,0.00405819198050066,"NPY;CORT;IGF1;PNOC",FALSE
"RetR.Rods","dACC_either","psi<0.05",2.39751082429251,0.000238649751242568,0.00835274129348987,"SMG6;AQP1;CUX1;NFIC;PFKFB2;PKNOX1;KDM4B;UPF1;SON;SLC24A1;ZFC3H1;AHDC1;PHF20L1;DPYSL4;CC2D1B;CRLF3;SPEN;STK35;CHST9;SETD5;KDM5B;BICD2;ARL4D;AKAP12",FALSE
"Ctx.pnoc","BLA_either","psi<1e-04",28.9568181818182,0.000286787848288557,0.00501878734504975,"NPY;IGF1;PNOC",FALSE
"Cb.Aldh1L1","Cortex_either","psi<0.05",2.18176019211647,0.000298268375016988,0.0104393931255946,"NPY;ALDH1A1;FGFRL1;CYBA;EDNRB;ID3;KCNJ16;IL17RC;MICAL1;MDK;S100A6;METRNL;THBS3;TIMP1;TPMT;UCP2;CDC14A;MAN1C1;A2M;PFKFB4;NKAIN4;RBM24;CMTM6;JAM2;TMEM179B;RASL11A;IFI35;LONRF3;USP6NL",FALSE
